year,state,rate
2008,Georgia,25.12
2008,Florida,37.33
2008,Louisana,25.97
2009,Georgia,21.09
2009,Florida,31.15
2009,Louisana,27.76
2010,Georgia,18.98
2010,Florida,27.86
2010,Louisana,25.92
2011,Georgia,19.97
2011,Florida,26.84
2011,Louisana,28.61
2012,Georgia,21.1
2012,Florida,25.55
2012,Louisana,25.58
2013,Georgia,18.82
2013,Florida,26.58
2013,Louisana,29.34
2014,Georgia,22.49
2014,Florida,23.1
2014,Louisana,26.23
2015,Georgia,23.44
2015,Florida,24.05
2015,Louisana,24.25
2016,Georgia,24.14
2016,Florida,22.91
2016,Louisana,24.03
2017,Georgia,24.92
2017,Florida,22.88
2017,Louisana,22.12
2008,U.S.,16.01
2009,U.S.,14.5
2010,U.S.,13.87
2011,U.S.,13.54
2012,U.S.,13.22
2013,U.S.,13.09
2014,U.S.,12.64
2015,U.S.,12.32
2016,U.S.,12.25
2017,U.S.,11.77